webinarID,participantID
0,2661
0,4719
0,2514
0,7454
0,3021
0,3581
0,1018
0,936
0,1587
0,8058
0,4550
0,3765
0,9173
0,3694
0,8120
0,8903
0,1022
0,4148
0,8089
0,7223
0,9835
0,5368
0,6395
0,7782
0,6616
0,9504
0,4645
0,9963
0,1778
0,5698
0,5233
0,4993
0,2192
0,65
0,5705
0,8281
0,7873
0,9408
0,8230
0,8871
0,9057
0,6991
0,165
0,5535
0,5858
0,1617
0,1149
0,8827
0,8858
0,4629
0,6130
0,3971
0,5864
0,6813
0,9087
0,3358
0,6787
0,8833
0,1336
1,4045
1,7098
1,6328
1,3868
1,9755
1,3186
1,9375
1,3786
1,9063
1,4686
1,266
1,390
1,1111
1,1324
1,2257
1,5037
1,6680
1,1498
1,4147
1,5014
1,667
1,1510
1,544
1,8579
1,7856
1,2032
1,931
1,851
1,1424
1,6827
1,1621
1,9064
1,3754
1,9097
1,4644
1,1825
1,6709
1,3235
1,9028
1,6188
1,8676
1,8801
1,3801
1,5939
1,4469
1,3610
1,425
1,9066
1,6102
1,4710
1,4141
1,3244
1,953
1,2669
1,6951
2,7124
2,6996
2,3712
2,803
2,3664
2,915
2,8961
2,1642
2,6290
2,6206
2,7967
2,1907
2,7910
2,4333
2,5787
2,4358
2,1976
2,4757
2,9150
2,9786
2,7820
2,740
2,2089
2,6295
2,1081
2,6566
2,4797
2,843
2,8562
2,1870
2,8991
2,485
2,1786
2,6273
2,4065
2,9651
2,9594
2,7940
2,4162
2,7257
2,8590
2,2262
2,3858
2,788
2,4728
2,1489
2,9256
2,7554
2,2055
2,7447
2,3478
2,9588
2,5758
2,8081
3,4406
3,2266
3,3563
3,7102
3,4389
3,1429
3,9013
3,8125
3,8696
3,6756
3,931
3,8417
3,7460
3,6280
3,8028
3,4743
3,5026
3,5394
3,6652
3,1974
3,8166
3,9804
3,9902
3,1466
3,7036
3,1485
3,9844
3,8090
3,7822
3,3157
3,7444
3,6621
3,578
3,7395
3,9039
3,1880
3,8352
3,990
3,7566
3,9831
3,6302
3,9368
3,4082
3,8819
3,9062
3,3287
3,7059
3,8666
3,1495
3,2809
3,1141
4,1256
4,1400
4,9113
4,4444
4,2545
4,2459
4,1186
4,7439
4,5465
4,9748
4,4999
4,9191
4,3075
4,6150
4,3199
4,1657
4,2211
4,3593
4,7691
4,8004
4,2066
4,5424
4,7093
4,1122
4,4100
4,7025
4,3442
4,5160
4,8885
4,5582
4,5351
4,5130
4,8137
4,1947
5,8433
5,9108
5,6254
5,9679
5,6242
5,5605
5,2455
5,2002
5,8238
5,1865
5,2259
5,1479
5,4089
5,9659
5,7870
5,3302
5,760
5,4663
5,9637
5,6176
5,5450
5,6470
5,5168
5,9723
5,1289
5,4431
5,8793
5,9937
5,1352
5,7898
5,6437
5,3824
5,174
5,2430
5,6118
5,829
5,958
5,9992
5,7101
5,2753
6,3278
6,9538
6,9772
6,4915
6,6704
6,4050
6,1439
6,6157
6,3689
6,7280
6,9855
6,4524
6,6258
6,9081
6,6888
6,8387
6,8290
6,6055
6,727
6,1064
6,1200
6,3758
6,8903
6,9841
6,4398
6,7889
6,6645
6,2140
6,4162
6,9887
6,407
6,1189
7,7680
7,2325
7,4139
7,7028
7,6414
7,3742
7,8165
7,7490
7,9810
7,5589
7,5129
7,5653
7,6094
7,7705
7,7333
7,1550
7,3895
7,9089
7,7015
7,4220
7,1133
7,5539
7,1144
7,5424
7,9216
7,8246
7,3509
7,7696
7,1384
7,6690
7,4768
7,9925
7,7415
7,1591
7,2539
7,3607
7,8963
7,821
7,9030
7,735
7,2322
7,5526
7,4521
7,6172
7,2504
7,5978
7,4647
7,9768
7,8694
7,1630
7,3835
7,4935
7,5196
7,3533
7,6881
7,6758
7,8471
7,2652
8,4287
8,8392
8,7204
8,3637
8,5620
8,1874
8,918
8,3541
8,4518
8,58
8,8375
8,5561
8,6342
8,3322
8,9139
8,3939
8,8677
8,962
8,7160
8,7492
8,8876
8,4420
8,3840
8,6062
8,3570
8,9844
8,4157
8,7692
8,8632
8,5590
8,4191
8,4743
8,9433
8,5900
9,2115
9,5518
9,9969
9,6356
9,2693
9,9687
9,5413
9,1928
9,2904
9,9893
9,7674
9,4485
9,7150
9,879
9,9233
9,5910
9,557
9,4623
9,4515
9,9803
9,5188
9,8476
9,7257
9,9384
9,323
9,2348
9,2562
9,5201
9,8211
9,2861
9,4931
9,9758
9,3667
9,37
9,9682
9,6476
9,9172
9,6751
9,6971
9,8800
9,3147
9,8105
9,8157
9,3887
9,6230
9,5243
9,4973
9,6071
9,7167
9,8423
9,4522
10,7139
10,7667
10,8129
10,8904
10,9366
10,8420
10,3093
10,295
10,3858
10,2094
10,655
10,4821
10,2184
10,125
10,5950
10,1490
10,6448
10,2532
10,3037
10,2014
10,2872
10,6654
10,9653
10,9604
10,7430
10,9062
10,502
10,3897
10,201
10,1384
10,7753
10,369
10,4559
10,3625
10,195
10,2702
10,1149
10,3757
10,9594
10,7692
10,9210
10,9129
10,6079
10,2185
10,2353
10,8636
11,8059
11,7984
11,7457
11,7075
11,4406
11,1523
11,7616
11,6171
11,2548
11,9018
11,7909
11,5279
11,7407
11,8079
11,1746
11,274
11,9736
11,2294
11,560
11,1341
11,5556
11,3051
11,5476
11,1481
11,7323
11,5944
11,1491
11,7069
11,200
11,6073
11,4897
11,3313
11,8579
11,7327
11,6243
11,9512
11,3637
11,5330
11,2667
11,433
11,7899
11,8282
11,8125
11,6996
11,9901
11,8300
11,9887
11,2111
11,1616
12,5495
12,6088
12,1872
12,3799
12,7374
12,3490
12,1185
12,9097
12,4670
12,2034
12,316
12,1565
12,8956
12,9765
12,7426
12,6824
12,2540
12,3202
12,6379
12,1166
12,4159
12,487
12,3739
12,8682
12,8359
12,4043
12,8426
12,294
12,10
12,4498
12,2377
12,3351
12,7662
12,4004
12,839
12,3664
12,1792
12,5814
12,2576
12,956
12,807
13,7922
13,9116
13,6176
13,9444
13,9495
13,6476
13,9602
13,9533
13,3924
13,6432
13,3105
13,5368
13,9729
13,1475
13,8218
13,6782
13,3966
13,7017
13,3704
13,3801
13,995
13,9436
13,3339
13,2950
13,8776
13,3933
13,9572
13,1736
13,2801
13,41
13,7108
13,2068
13,7898
14,3433
14,8912
14,4663
14,8787
14,2553
14,6147
14,3558
14,7424
14,3472
14,8886
14,115
14,8892
14,3397
14,6956
14,3377
14,8048
14,2599
14,8963
14,5277
14,2840
14,3531
14,1064
14,7407
14,5383
14,4086
14,695
14,5290
14,4659
14,1228
14,801
14,6011
14,2199
14,3183
14,8443
14,4346
14,7184
14,376
14,2105
14,7986
14,4334
14,5138
14,5364
14,2387
14,9310
14,3128
14,3020
14,3988
15,7159
15,9679
15,6010
15,3279
15,4128
15,4096
15,3480
15,5187
15,7250
15,9587
15,1639
15,6120
15,1249
15,239
15,8793
15,9658
15,1545
15,5690
15,5975
15,5703
15,4280
15,4016
15,3367
15,1159
15,6551
15,629
15,7764
15,4617
15,2417
15,361
15,1881
15,2309
15,9258
15,9412
15,4715
15,881
16,2656
16,9417
16,5374
16,9661
16,9748
16,4090
16,8299
16,702
16,8433
16,1915
16,5404
16,9412
16,9249
16,8327
16,6524
16,5424
16,289
16,3883
16,9830
16,9
16,5996
16,3576
16,5187
16,73
16,5129
16,2010
16,2702
16,9602
16,4078
16,9844
16,8348
