meetingID,participantID,dateWatched
1597,4543,"06/26/2019, 16:01:52"
1597,8656,"01/19/2020, 21:13:52"
1597,9916,"05/16/2020, 11:06:05"
1597,5258,"03/06/2024, 21:30:40"
1597,6230,"01/15/2024, 08:51:10"
1597,2593,"08/20/2021, 11:18:23"
1597,7485,"03/12/2021, 15:25:26"
1597,3628,"03/10/2019, 05:04:28"
1597,1629,"05/28/2023, 13:46:13"
1597,5069,"05/09/2024, 20:40:24"
1597,1019,"06/10/2023, 12:51:50"
1597,8977,"03/23/2023, 02:46:56"
1597,1706,
1597,8278,"01/02/2023, 20:54:15"
1597,1833,"01/20/2023, 14:04:29"
1597,2601,"10/20/2022, 01:46:57"
1597,7641,"11/13/2022, 13:49:49"
1597,3416,"11/15/2022, 23:58:16"
1597,9880,"08/02/2024, 11:03:18"
1597,1506,"10/17/2022, 06:12:17"
1597,2655,"01/19/2020, 02:34:51"
1597,2550,"07/09/2021, 03:34:51"
1597,8005,"04/23/2020, 04:56:15"
1597,8875,"04/07/2023, 01:36:49"
1597,1153,"07/23/2020, 11:40:34"
1597,7934,"03/15/2021, 06:30:09"
1597,3784,"08/10/2024, 21:56:53"
1597,1715,"05/18/2021, 02:22:14"
1597,2950,"01/23/2020, 10:24:03"
1597,922,"06/07/2021, 11:27:21"
1597,1354,"06/23/2020, 11:38:36"
1597,3913,"06/28/2022, 02:43:58"
1597,6888,"08/13/2024, 15:09:08"
1597,7288,
1597,8736,"08/31/2020, 05:05:57"
1597,3845,"02/28/2021, 00:13:33"
1597,8287,"02/10/2019, 15:05:36"
1597,6319,"06/04/2019, 01:54:11"
1597,7357,"02/26/2022, 19:02:27"
1597,9553,"09/07/2019, 04:14:15"
1597,55,
1597,204,"12/23/2022, 14:08:22"
1597,4965,"12/29/2023, 02:17:44"
1597,8664,"05/31/2019, 09:47:37"
1597,6224,"09/11/2023, 09:15:03"
1597,924,"09/30/2023, 21:04:36"
1597,595,"02/06/2022, 17:11:39"
1597,6719,"03/10/2021, 20:20:39"
1597,897,"04/04/2024, 22:31:04"
1597,7487,"07/31/2020, 01:38:23"
1597,8733,"03/22/2019, 16:30:39"
1597,1777,"02/09/2020, 00:35:54"
1597,5970,"05/25/2022, 17:26:21"
1597,3137,"07/13/2021, 07:30:55"
1597,1072,"04/25/2023, 20:27:24"
1597,7362,"06/08/2020, 02:29:35"
1597,4951,"10/17/2024, 23:06:34"
1597,4117,"02/18/2023, 03:04:47"
1597,2600,
1597,111,"04/22/2024, 00:53:53"
1597,7515,"01/01/2024, 18:55:55"
1597,5820,"10/02/2021, 20:42:45"
1597,3649,"12/17/2022, 03:12:57"
1597,8335,"07/19/2019, 10:10:06"
1597,9647,"06/29/2019, 09:25:09"
1597,8805,"01/31/2024, 18:01:42"
1597,2166,"12/01/2021, 23:06:53"
