meetingID,data,meetingLink,recordingLink
1001,2022-03-27,http://www.learning.com/ssbcmgfu7lc6,http://www.learning.com/x7qe5o8iw45s
1002,2022-02-18,http://www.learning.com/c8d47qochxsn,http://www.learning.com/r1gta1cgjote
1003,2019-10-27,http://www.learning.com/r5k38cmfml1m,http://www.learning.com/gr4wkxst3fw9
1004,2020-10-27,http://www.learning.com/42xl2mqdhfdk,http://www.learning.com/vkwwxjvknq85
1005,2022-03-16,http://www.learning.com/pbg4oekwwd8d,http://www.learning.com/z9lqc14bzw5w
1006,2020-11-13,http://www.learning.com/2troog5ulvgt,http://www.learning.com/eqn590q3gkxg
1007,2023-04-27,http://www.learning.com/3y0hppxkfw3n,http://www.learning.com/ozu8kwzm3xes
1008,2023-01-06,http://www.learning.com/o6qc1a4buh1v,http://www.learning.com/4x5r1gvdqng3
1009,2020-01-13,http://www.learning.com/idw5xp8d2whx,http://www.learning.com/igkf0yxqhpq8
1010,2023-01-29,http://www.learning.com/3uoe2ir90qwa,http://www.learning.com/13bewhc2iqh0
1011,2024-02-28,http://www.learning.com/f4lnkg8pffyz,http://www.learning.com/qumuqp87hqyn
1012,2021-07-23,http://www.learning.com/o3d7e5vn3hav,http://www.learning.com/klsbql407whm
1013,2019-02-24,http://www.learning.com/20e5qxb7ttf5,http://www.learning.com/yg93o2r41rj2
1014,2023-04-15,http://www.learning.com/rz31c8pz2a6q,http://www.learning.com/ux21qhpxbn6u
1015,2019-07-09,http://www.learning.com/7es3bmqcvdio,http://www.learning.com/gkfo8xb8vgxs
1016,2019-11-03,http://www.learning.com/tvdzw9fm7gh0,http://www.learning.com/cgjm1ihdczsz
1017,2025-05-22,http://www.learning.com/f95uc6urbzg1,http://www.learning.com/iao0c80iqgs2
1018,2025-02-26,http://www.learning.com/92f8anzte6dm,http://www.learning.com/e00rz5mynuro
1019,2021-05-09,http://www.learning.com/v1n7273x0u3d,http://www.learning.com/g42jqaktsji9
1020,2023-02-13,http://www.learning.com/b1tqz9crjy69,http://www.learning.com/0ta16onmbpv8
1021,2021-10-05,http://www.learning.com/xmzpy5b33tph,http://www.learning.com/4f2nr33a5dto
1022,2023-09-15,http://www.learning.com/t9schl78whjz,http://www.learning.com/e8529f1fzny1
1023,2021-11-18,http://www.learning.com/d51a0u9gttkp,http://www.learning.com/ok3b7ew82ws8
1024,2023-01-06,http://www.learning.com/swam3demoh8y,http://www.learning.com/zxrgv5j1n34x
1025,2024-07-02,http://www.learning.com/16mb51l7u56c,http://www.learning.com/wq49fmqmzh7y
1026,2023-08-07,http://www.learning.com/812ir09dnrbu,http://www.learning.com/ifqhta8tczz5
1027,2023-04-02,http://www.learning.com/f0weawulixnv,http://www.learning.com/t83yvez1syop
1028,2020-03-24,http://www.learning.com/8zeuvozzxek2,http://www.learning.com/aokemiduak9s
1029,2019-06-16,http://www.learning.com/r5lhc0bdpj6b,http://www.learning.com/zhfbnrhc77gq
1030,2019-07-09,http://www.learning.com/gme5u8nrqdvl,http://www.learning.com/le9ezcg6aifa
1031,2022-05-12,http://www.learning.com/z22fun05xpy1,http://www.learning.com/z4l24qmjv3j0
1032,2025-01-03,http://www.learning.com/0ooyrsp9qenf,http://www.learning.com/u60yjfnnwik3
1033,2024-12-17,http://www.learning.com/1zf2k7sfgh1u,http://www.learning.com/4up4arorveeb
1034,2019-08-06,http://www.learning.com/kwjrxfmm5gnz,http://www.learning.com/mwwcjpy9ckow
1035,2022-09-09,http://www.learning.com/fyaasgvnadhy,http://www.learning.com/pju4t7xe9w9p
