studentID,conventionID,paymentDate
4543,0,2018-02-18 18:36:17
8656,0,2023-03-27 16:27:18
9916,0,2021-11-15 15:06:35
5258,0,2021-01-04 11:51:00
6230,0,2024-01-18 12:38:31
2593,0,2018-09-03 22:24:14
7485,0,2020-04-30 04:30:44
3628,0,2019-01-26 10:44:48
1629,0,2024-12-19 12:27:45
5069,0,2022-07-08 06:56:00
1019,0,2023-12-06 05:53:42
8977,0,2023-03-24 02:50:18
1706,0,2023-10-29 11:35:36
8278,0,2019-11-07 12:05:02
1833,0,2020-10-26 21:56:33
2601,0,2024-07-01 01:01:27
7641,0,2022-05-13 05:49:33
3416,0,2020-10-08 19:20:41
9880,0,2019-02-19 08:43:01
1506,0,2022-02-28 19:10:37
2655,0,2021-07-23 10:23:58
2550,0,2022-11-26 04:03:50
8005,0,2020-07-04 16:57:59
8875,0,2018-01-20 22:12:08
1153,0,2019-12-11 02:08:47
7934,0,2018-12-15 22:16:05
3784,0,2019-06-13 14:35:39
1715,0,2020-11-12 10:00:52
2950,0,2024-07-09 15:16:48
922,0,2018-12-21 21:43:40
1354,0,2023-09-25 15:44:15
3913,0,2021-10-08 02:36:49
6888,0,2023-11-03 01:28:19
7288,0,2021-11-09 06:41:58
8736,0,2018-08-13 02:15:04
3845,0,2021-04-26 18:11:08
8287,0,2024-09-16 14:57:20
6319,0,2024-10-15 18:58:48
7357,0,2022-01-05 00:09:01
9553,0,2019-02-23 09:16:32
55,0,2021-10-29 15:31:40
204,0,2022-01-16 15:54:22
4965,0,2024-02-19 22:52:31
8664,0,2023-08-05 17:04:13
6224,0,2018-05-26 12:06:58
924,0,2022-07-23 22:51:22
595,0,2024-11-23 18:49:52
6719,0,2024-07-09 07:53:51
897,0,2018-05-25 19:46:58
7487,0,2018-08-16 05:27:37
8733,0,2022-11-09 09:33:24
1777,0,2021-01-17 17:26:42
5970,0,2021-12-10 01:51:55
3137,0,2018-06-26 07:40:53
1072,0,2024-11-19 20:47:41
7362,0,2022-10-26 07:54:25
4951,0,2020-01-21 03:26:38
4117,0,2020-05-25 01:35:22
2600,0,2020-02-18 11:33:03
111,0,2019-03-21 17:40:37
7515,0,2020-08-20 04:39:24
5820,0,2021-02-11 01:40:52
3649,0,2022-08-22 01:54:03
8335,0,2020-10-06 09:10:24
9647,0,2021-06-04 00:58:03
8805,0,2018-09-11 06:07:58
2166,0,2022-07-09 00:17:57
5457,0,2018-11-18 21:26:17
3478,0,2023-08-12 12:43:32
6836,0,2022-09-29 05:20:04
8701,0,2021-07-05 06:04:42
9003,0,2021-06-11 11:53:38
9906,0,2023-04-06 13:35:16
8917,0,2021-11-05 01:00:53
4093,0,2024-09-24 13:57:27
8652,0,2022-11-29 02:48:50
5709,0,2019-01-31 06:57:50
2633,0,2021-11-04 01:50:52
7517,0,2021-05-30 14:39:35
4277,0,2020-01-28 10:18:17
1849,0,2018-12-31 20:59:20
4366,0,2022-11-15 10:04:27
2879,0,2023-07-14 13:51:02
4687,0,2020-08-06 14:06:26
1737,0,2024-04-24 23:14:42
921,0,2022-08-19 04:04:50
4788,0,2024-05-09 03:41:05
2593,1,2018-02-02 19:10:40
2550,1,2022-01-12 15:48:48
2655,1,2019-08-01 16:32:51
3913,1,2022-01-30 18:36:04
8005,1,2023-09-16 17:50:37
3416,1,2018-12-22 06:02:35
7641,1,2019-03-18 02:19:53
1506,1,2024-04-08 08:07:47
1019,1,2024-04-18 12:57:00
3137,1,2018-04-29 08:33:13
5970,1,2023-08-19 22:33:34
6719,1,2022-04-25 17:03:21
1072,1,2023-11-20 20:46:28
7487,1,2019-01-02 06:49:03
897,1,2019-10-13 21:15:04
1777,1,2020-10-17 13:36:09
8733,1,2022-04-15 08:38:47
922,1,2022-05-12 17:29:21
2950,1,2020-03-13 11:18:43
2601,1,2020-03-23 15:53:37
1354,1,2018-03-31 07:11:23
7934,1,2021-04-13 21:31:52
1153,1,2021-03-11 17:40:20
1715,1,2023-10-22 05:20:32
9880,1,2023-03-17 01:56:05
3628,1,2024-05-07 22:53:58
1629,1,2023-04-06 11:41:31
5258,1,2021-05-23 11:11:19
7485,1,2022-01-07 01:48:23
8656,1,2018-06-28 11:07:50
9003,1,2020-02-01 16:47:50
6230,1,2024-02-25 07:31:52
9916,1,2024-10-21 12:23:10
8278,1,2022-12-09 23:13:57
1706,1,2023-12-17 13:49:05
1833,1,2024-01-02 14:34:26
3784,1,2018-03-11 09:49:12
5069,1,2021-10-09 02:28:47
4093,1,2018-09-26 01:03:09
8977,1,2023-06-07 12:18:11
5709,1,2024-07-24 12:57:03
4965,1,2022-10-17 00:10:20
8664,1,2021-06-28 17:15:33
55,1,2020-05-10 21:32:27
204,1,2023-04-22 02:40:43
595,1,2019-09-15 00:56:16
9553,1,2022-11-15 10:28:21
6224,1,2022-08-10 09:15:17
924,1,2019-04-18 00:24:25
8736,1,2022-02-06 05:08:26
3845,1,2020-07-15 02:10:20
6888,1,2019-12-02 13:00:41
7357,1,2021-04-18 13:54:17
8287,1,2020-10-04 05:10:38
3649,1,2020-09-26 16:51:15
8875,1,2019-01-01 08:15:55
6319,1,2022-04-27 04:00:30
7288,1,2018-04-11 03:31:30
7362,1,2019-09-02 17:35:10
4117,1,2020-04-04 21:42:07
111,1,2019-10-27 11:43:45
7515,1,2024-11-08 04:36:30
2600,1,2023-11-20 10:14:41
5820,1,2023-02-08 07:14:31
4951,1,2022-08-01 16:36:51
9647,1,2021-04-02 09:50:18
2879,1,2022-07-13 15:52:49
4366,1,2018-02-27 20:27:07
4687,1,2020-11-05 09:47:05
1737,1,2021-12-30 21:25:04
8335,1,2024-07-03 13:19:45
921,1,2019-12-29 16:37:47
1849,1,2023-12-17 12:01:43
9906,1,2019-12-01 22:38:08
4543,1,2023-11-22 17:20:04
3478,1,2021-04-12 23:18:36
8701,1,2021-11-30 10:12:34
5457,1,2024-06-07 23:28:22
8805,1,2020-12-07 20:43:31
2166,1,2023-05-24 13:41:39
4788,1,2020-01-14 14:44:27
4277,1,2019-04-25 14:46:12
6836,1,2018-04-28 18:40:13
